,sentence_id,words,labels
4759,12983,puriyta,v
11313,19554,sallqakunapas,s
15409,23650,rikukun.,v
6244,14485,rumichakunayuq,s
674,8868,¡Maypiraqyá,pron.interrog.
6964,15205,siwaratapas,s
15059,23300,¡Allquykita,s
6414,14655,champiyuqsi,s
2217,10424,riqsichwan.,v
12432,20673,mikhuykuspataq,v
15400,23641,hayk'appas,adv.
3953,12176,turiyta,s
9196,17437,puquykun.,v
8255,16496,sara,s
4564,12787,rapranta,s
10799,19040,Tutayaqpi,s
15024,23265,p'unchawpaq,s
120,8306,kachkan.,v
14576,22817,k'askachispa,adv.
13962,22203,hayt'aypiqa,adj.
13258,21499,manam,adv.
2544,10759,Pata,s
10917,19158,hich'anku.,v
9242,17483,Warmikunaqa,s
12983,21224,Millay,adj.
2458,10670,paqarirqamusqa.,v
2798,11014,puturichkanña.,v
1287,9484,Makiypi,s
7463,11887,Paypa,pron.
11037,17292,chaqaypas,pron.
8931,17172,ancha,adv.
3980,12203,rimaptiy,v
7691,15932,hiq'ipaqtaqa,s
2051,10258,Masaytam,s
12343,20584,"runapas,",s
15361,23602,chaymi,adj.
10047,18288,rantinkichu?»,v
2169,10376,Makiykita,s
15452,23693,runakunataqa,s
14713,22954,wirulla,s
14806,23047,hap'ichikunapaqqa.,v
1035,9229,Haku,v
3391,11610,para,s
14084,22325,Chaymantataq,adv.
13914,22155,tullpunku.,v
5295,13527,añas,s
10651,18892,Rurukuna,s
23,26860,Qamkuna,pron.
12877,21118,Bertha,s
15312,23553,atiq,s
2650,10865,Pisqukuna,s
11404,19645,"rantikurqani,",v
5398,13634,Mama,s
3211,11427,sapa,adj.
7386,15627,Hawapiqa,s
151,8337,Allqa,adj.
9785,18026,wapsi,s
15475,23716,saraqa,s
58,8244,Achanqaray,s
6059,14300,qhari,s
5756,13997,Waqaychasqa,v
1962,10169,machkatam,s
6708,14949,kasqa.,v
14293,22534,Usicayos,s
10079,18320,lichipa,s
11038,19279,hawa,adj.
3278,11496,qusanqa,s
6082,14323,llikllaqa,s
1897,10102,sunquyuqmi.,adj.
3772,11993,Suyuchanchikpa,s
4690,12913,rikurimuptin,v
9770,18011,mana,adv.
14518,22759,Ichhu,s
9722,17963,kutataqa,s
4352,12575,wallataqa.,s
8573,16814,Qullqiyuq,adj.
9034,17275,wayrata,s
5395,13631,huk,det.
273,8463,punkipakuwaqmi.,v
11517,19758,sarata,s
10194,18435,pisi,det.
3162,11378,qispirqachinñam.,v
9335,17576,ruruchanmi.,s
1325,9522,kalawasata,s
13411,21652,qañiwa,s
12341,20582,P'aqu,adj.
5298,13530,allin.,adj.
8186,16427,hak'upi,s
15318,23559,ima,adj.
263,8453,chayaspanku,v
4220,12443,usqu,adj.
3529,11749,mana,adv.
15137,23378,wasaypi,s
8992,17233,añasqa,s
7762,16003,runakuna,s
8531,16772,allinchu.,adj.
8621,16862,q'uñichispa,v
13218,21459,wasiman,s
3669,11890,Wakapa,s
438,8630,Ñawpaq,adv.
10339,18580,runakunaqa,s
5088,13315,llama,s
1504,9709,lnkakuna,s
9681,17922,"kururana,",v
5789,14030,Awsan,adv.
6262,14503,ch'uyanchay,v
2671,10886,mikuyta.,s
3750,11971,kaytam,v
15411,23652,churiypa,adj.
7635,15876,aswan,adv.
9385,17626,chaninta,adv.
13917,22158,tiyaq,adj.
11359,19600,Allwisqa,adj.
6833,15074,Antimanta,s
11705,19946,ch'uñuqa,s
3678,11899,hapirquptin,v
7024,15265,t'iranchik.,v
6790,15031,chaymantañam,conj.
12225,20466,ruranapaqmi,v
8589,16830,ch'aki,adj.
8196,16437,qhuchparichispa,v
15135,23376,p'unchaw,s
13372,21613,tusuq,s
3415,11634,rumiyarqusqa.,adj.
3294,11512,miskim,adj.
10574,18815,kutaspa,v
8199,16440,ch'uñu,s
14127,22368,Ñaqha,adv.
12673,20914,uywakunapaq,s
5141,13371,watyatapas,s
13778,22019,siqipi.,s
8803,17044,mamatapas,s
14877,23118,Qantu,s
1868,10073,Lluchka,adj.
9561,17802,watamanqa,s
429,8621,wallpaykita,s
9524,17765,kulli,adj.
15417,23658,paqarirqan.,v
10093,18334,allpamanta,s
2879,11095,qaranqa,s
14300,22541,qaraykuwanku.,v
5142,13372,mikhusunchikmi.,v
10232,18473,allquqa,s
2203,10410,utin.,v
11657,19898,munay,adj.
8714,16955,Kinuwata,s
45,30308,ima,pron.
11086,19327,wañuchipun.,v
7644,15885,uchuwan,s
10773,19014,"¡Wawqicháy,",s
1795,10000,Hatun,adj.
10304,18545,puka,s
4817,13041,Yantaqa,s
5788,14029,"malliykuchkaspam,",v
11978,20219,sullk'a,adj.
11458,19699,kasqan,v
8311,16552,runatapas,s
12283,20524,huk,det.
5517,13754,aranwayqa,s
14984,23225,k'aspi,s
14736,22977,chiri,adj.
9300,17541,ch'uñuta,s
10372,18613,takana»,v
6891,15132,ch'aki,adj.
7797,16038,"tawa,",s
12690,20931,tayta,s
9633,17874,ruranapaqqa,v
2932,11148,tarpuymanchu.,v
7134,15375,ch'unqata,s
7612,15853,masikunamanpas.,s
320,8510,lawakurqusun.,v
15442,23683,santus,s
7738,15979,huch'uylla.,adj.
9667,17908,"waqaychanki,",v
3105,11321,Chiri,adj.
1192,9389,Inka,s
1986,10193,Ratam,s
10121,18362,llaqi,s
9437,17678,sank'ayuta,s
12609,20850,pallayta,adv.
6400,14641,challwacham,s
10488,18729,sunqunchikqa,s
6764,15005,wawakunataqa,s
15510,23751,Iskay,adj.
7269,15510,yarawikunata,s
12636,20877,pallarquy.,v
6409,14650,such'i,s
14708,22949,q'uncha.,s
5498,13735,Tayta,s
8506,16747,K'ulluta,s
10853,19094,Wawaqa,s
4606,12829,uywam.,s
7346,15587,aynipi,s
11383,19624,mink'api,s
9325,17566,kichkayuq,s
7371,15612,hatarin.,v
2305,10514,Iskay,num
14872,23113,hamk'aspaqa,adj.
521,8715,yarqata,s
11837,20078,Wasi,s
4537,12760,watuchitam,s
4965,13191,kutaspa,v
1489,9694,killimsata,S
330,8520,mikun.,v
7239,15480,kukata,s
11135,19376,Azángaro,s
7863,16104,hunuch,s
15094,23335,qayna,adv.
7281,15522,makintin,s
2460,10672,paqchaqa,s
10377,18618,huk,det.
785,8979,runtuchakuna,s
6577,14818,purin.,v
7573,15814,mana,adv.
10007,18248,akakunpas.,v
2629,10844,punchaw,s
440,8632,sumaqchatam,adj.
12140,20381,"papaqa,",s
596,8790,kanchu.,v
5315,13547,masichanchikqa,s
3504,11724,waytata,s
6490,14731,Yunka,s
10369,16299,Ñuqaqa,pron.
301,8491,llumpay,det.
13848,22089,q'aytuta,s
9608,17849,hampim.,s
9814,18055,Kay,det.
2526,10741,warmakunaman,s
13067,21308,mana,adv.
8546,16787,qatanapaq.,v
293,8483,Sapa,det.
250,8438,Añas,s
4415,12638,Wanwaqa,s
15497,23738,tisis,s
10091,18332,Warmakunaqa,s
6125,14366,k'irisqapaq,adj.
12216,20457,nin:,v
7827,16068,lluqsirqunachu,v
10359,18600,wiksapi,s
611,8805,Chapra,s
7312,15553,lichiyuq,s
6705,14946,chanin,s
7108,15349,uruchakunata,s
10057,18298,p'acha,s
2756,10971,Wallpa,s
8606,16847,rurasqanta,v
10289,18530,Wallwak'unpi,s
6362,14603,añu,s
9954,18195,rikuspas,v
600,8794,apita,s
14533,22774,Kuchunakuna,s
11660,19901,Chay,det.
7974,16215,Kusisqa,adj.
5140,13370,"allaysirqamuway,",v
6628,14869,qatanakunataqa,s
13235,21476,marunapas.,adv.
5620,13861,takarpukuna.,s
8115,16356,ch'uyanchanapaqqa,v
14691,22932,warayuq.,s
8156,16397,llaqtapiqa,s
4588,12811,purikuq!,v
5043,13269,chay,adj.
5841,14082,allin,adj.
3300,11518,tutayaypi,s
3587,11807,Yachay,s
14618,22859,uraykuchin.,v
12895,21136,t'aqsakunapaq,v
7187,15428,mikhurikuwaqchu.,v
883,9077,kisuyuq,s
9617,17858,llaqtapi.,s
3763,11984,Machkapa,s
10944,19185,sutiyuq;,s
4815,13039,Yanqa,adj.
12256,17976,Chayqa,pron.
7692,15933,wasanpipas,s
872,9066,China,adj.
9704,17945,Wiksanchik,s
2878,11094,Papapa,s
1445,9650,kuchi.,s
253,8442,"yanapasuptiykiqa,",v
560,8754,challwakamusun.,v
8618,16859,Wawakunaqa,s
5501,13738,kaq.,v
2754,10969,pampapi,s
7905,16146,tayta,s
14187,22428,kichasqa,adj.
12791,21032,nispa,adv.
5988,14229,runakunaqa,s
7387,15628,chirichkanmi;,v
6242,14483,chiqninakuspa.,v
8891,13756,maychus,pron.
14227,22468,sumaqchata,adj.
1243,9440,tunasta,s
7189,15430,pachamanta,s
6438,14679,hamuspapas,v
8160,16401,unuyuqta,s
6285,14526,tulluwanmi,s
3199,11415,qucham,s
3817,12039,puriq.,s
4846,13070,Yawarnin,s
6429,14670,haywaripuwan.,v
10627,18868,suqta,det.
11793,20034,quqawniyuq,s
501,8695,ruranku.,v
743,8937,rantikurqusqayki.,v
282,8472,Kalawasa,s
14965,23206,chay,adj.
8071,16312,uraskamari,s
3426,11646,punchawmi,s
12465,20706,watananpaq,v
13958,22199,wasantaraq,adv.
9622,17863,sullk'a,adj.
9150,17391,khallasqatam,v
8389,16630,kaltuta,s
7937,16178,Willka,s
7643,15884,Wawayki,s
9374,17615,killamanta,s
5549,13788,yapawanchik.,v
9195,17436,sumaqtam,adv.
6935,10617,Paykunapas,pron.
7248,15489,Kunan,adv.
1821,10026,Ama,adv.
11030,19271,Masiykunaqa,s
6613,14854,qispinta,s
9135,17376,Ayllu,s
11643,19884,rapichakuna,s
13608,21849,pampakunata,s
4225,12448,qaytuta,s
10782,19023,kutichipusqayki!,v
371,8562,wasanqa,s
2819,11035,manam,adv.
5308,13540,allinmi.,adj.
7479,15720,huqariyta,s
9841,18082,kikinmanta,s
14815,23056,Añutas,s
2041,10248,Maqta,s
9149,17390,uwiha,s
8918,17159,ancha,adv.
6217,14458,unquykunata,s
1230,9427,Irqikuna,s
8879,17120,kankataqa,s
840,9034,yanukunapaq,v
13215,21456,sutiyuq.,s
14314,22555,qaraykuwanku.,v
11073,19314,Masu,s
5357,13593,pachapas,s
11382,19623,runakunaqa,s
54,30915,imatapas,pron.
1082,9276,tinyata,s
14851,23092,mikhuy,s
8561,16802,Qullqiyuq,adj.
11179,19420,mayt'utam,s
4342,12565,aparquptin,v
14417,22658,q'allana.,adv.
389,8580,chakiykita,s
9271,17512,wataykapuway.,v
1942,10148,Turupa,s
10685,18926,qarakuchkaspa,v
12243,20484,yuyaq,adj.
2288,10497,ñawichasun.,v
10200,18441,Wansu,s
800,8994,Chuchuqa,s
333,8523,kuchinillapi,s
7464,12001,Ñuqaykupa,pron.
7110,15351,Hampikuq,s
5626,13867,Inka,s
578,8772,chanin.,s
1017,9211,wasimanta,s
9274,17515,phusuquman,s
6007,14248,aruwanpi,s
9096,17337,Kay,det.
1567,9772,Kuchusninta,s
6775,15016,rurallanchiktaq.,v
9318,17559,kichkayuq,s
3528,11748,"kaspa,",v
11186,19427,mayuqa,s
561,8755,Champata,s
4986,13212,"tuta,",s
7500,15741,sara,s
156,8342,qawananpaqmi,v
13953,22194,uwihakunatataq,s
12024,20265,warmikuna,s
1014,9208,hampiwarqa.,v
12112,20353,"kachiyuqta,",s
2957,11173,qawanki.,v
2791,11007,¡Kalawasa,s
8595,16836,k'urpachakunata,s
7132,15373,ch'irita,adv.
9747,17988,kutichinakapullanku.,v
4194,12417,sunquyuq,s
15191,23432,wanunpas,s
8948,17189,kawalluqa,s
4177,12400,pichakuna.,v
7760,16001,ninku.,v
5266,13498,Inkakunataqa,s
7705,15946,hisp'anpas,v
9520,17761,t'uqyanman.,v
3520,11740,pawan.,v
5049,13276,puñusqa.,v
13116,21357,Mama,s
10618,18859,uyayuqtaqa,s
1018,9212,ayqinapaqmi,v
8063,16304,inkaqa,s
14346,18398,Ñuqanchikqa,pron.
7536,13159,wakin,pron.
3154,11370,patata,s
14340,22581,watachayuq,s
1874,10079,Mitupi,s
15325,23566,maman,s
15267,23508,kasunman.,v
8315,16556,q'uñichiwanchiktaq.,v
6460,14701,chayamullanqapunim,v
14250,22491,purichkanña.,v
1235,9432,yachay,s
12078,20319,"minina,",v
2119,10326,Pacha,s
15043,23284,ña,adv.
11858,20099,siq'isunchik.,v
5365,13601,sutiyuq,s
5806,14047,ñawpaqta,adv.
5375,13611,qasapi,s
7799,16040,suqta,s
9791,18032,Ruphay,s
9160,17401,risasqaykimanta,v
10843,19084,llaqta,s
4882,13106,qarichatawan,s
15142,23383,qhaqurquwankimanchu?,v
1724,9929,Umanpim,s
15098,23339,kichanña.,v
12287,20528,Warmikunaqa,s
15461,23702,Mana,adv.
5959,14200,chaypachaqa,conj.
3433,11653,Llumpaytam,adj.
7893,16134,ama,adv.
14931,23172,chaypi,adv.
9687,17928,tulluchapipas,s
9054,17295,allin,adj.
1451,9656,Kayllapim,adj.
14450,22691,t'antapas,s
12909,21150,t'ikachankunatapas,s
14967,23208,rikhurillankutaq.,v
1820,10025,hapinanpaq.,v
12689,20930,urmaykuptinchikpas,v
400,8592,maqtataqa,s
1075,9269,tarpukusun.,v
6535,14776,qallarin.,v
7002,15243,San,s
5970,14211,uwiha,s
12552,20793,pachantin.,s
15234,23475,kaq,v
227,8415,Anqas,adj.
4860,13084,miskikullanmi.,adj.
5240,13472,amachay.,v
4201,12424,Urqu,s
3940,12163,yanaman,adj.
5037,13263,achiyuti,s
7268,15509,sumaq,adv.
13391,21632,imatapas,adv.
10,24028,ñuqanchikpaqqa,pron.
9800,18041,Ruphay,s
14016,22257,"kallpayuqmi,",adj.
4296,12519,Kanchantin,s
13863,22104,chuwitaq,s
4997,13223,chay,adj.
3573,11793,yaykunchu.,v
3911,12133,Tisi,s
14822,23063,mana,adv.
8528,16769,ancha,adv.
11689,19930,nanawan.,v
3509,11729,Sansata,s
10045,18286,«¿Imapaqtaq,pron.interrog.
819,9013,Chukulliyta,s
4731,12955,Qullqiytam,s
1642,9847,Tawa,num
11742,19983,watayuqñam.,s
2109,10316,waskatam,s
10506,18747,munaykichu!,v
12188,20429,¿Imaraykutaq,pron.interrog.
5482,13718,Ñawpaqqa,adv.
4354,12577,aychaqa,s
12306,20547,Runapa,s
8735,16976,kanchik.,v
5311,13543,ancha,adj.
4100,12323,Llaqtanchik,s
9698,17939,asnucha,s
3234,11451,¡Ama,adv.
13193,21434,khuchinman,s
14192,22433,pupunta,s
7257,15498,manam,adv.
8076,16317,Sapan,det.
2483,10697,waqanmanchu.,v
2255,10464,ninmi.,v
12976,21217,¡Paqtataq,adv.
7878,16119,huñunakuyta,s
12599,20840,qaqa,s
2622,10837,allinta,adj.
2413,10624,Rumi,s
10883,19124,maqayqa,s
13827,22068,punchupaqpas,adv.
12016,20257,kanila,s
1502,9707,tarpukusun.,v
2646,10861,Pisqi,s
4910,13134,Taytachatam,s
3313,11531,kullu.,s
2538,10753,Haku,v
15441,23682,hak'unchik,v
3532,11752,rumiqa,s
3127,11343,qunqarqun.,v
928,9122,aswanmi,adv.
5825,14066,ñut'u,adj.
9574,17815,hukniyuq,s
7594,15835,Mikhuyta,s
11075,19316,wallpapa,s
647,8841,Ilampuyananpaq,adj.
7454,15695,t'impuchisqa,adj.
7256,15497,wasipi,s
3451,11671,ruru,s
7151,15392,ch'unqata,s
10417,18658,mayllarqukuptiykiqa,v
9020,17261,uywakunapas,s
14854,23095,kaqtaq,adv.
2959,11175,imayna,adv. interr
11846,20087,puquykun.,v
15232,23473,sach'akuna,s
9799,18040,kutimun.,v
9413,17654,puruñawan,s
946,9140,runam,s
14148,22389,chakasqa,adj.
11881,20122,chichuyan.,v
14502,22743,mana,adv.
15157,23398,"pinchan,",v
7572,15813,quchata,s
13978,22219,«pukúy,s
5243,13475,allqu,s
14588,22829,q'ipata,s
5426,13662,Sara,s
13094,21335,urqu,s
419,8611,manchakuypaqmi.,v
9209,17450,khatatataptinqa,v
3325,11543,wasita,s
5675,13916,misk'ipuni.,adj.
13213,21454,p'istukunantaq,adv.
15179,23420,ukhupi,adv.
9857,18098,rikch'aq,adj.
2681,10896,pirgasqaku.,v
8771,17012,Mama,s
12033,20274,"rakhuraqmi,",adj.
14752,22993,watapi,s
11325,19566,allpakunapiqa,s
8670,16911,k'uyurina.,v
12173,20414,qhawakuchkaq,v
2748,10963,Mikuykuna,s
10188,18429,Allquqa,s
1781,9986,Llañu,adj.
9694,17935,"kururana,",v
11471,19712,Papa,s
10762,19003,kay,det.
14296,22537,uqa,s
5169,13401,chayraykum,adv.
651,8845,punchawmi,s
6077,14318,ch'ullpasapam,adj.
10252,18493,runaqa,s
757,8951,qapiykamuway!,v
610,8804,allichasun.,v
1436,9640,Kawsayta,s
5249,13481,"hap'irqunman,",s
7135,15376,yana,adj.
15407,23648,manam,adv.
11776,20017,musuq,adj.
2391,10600,Wak,adj.
15406,23647,runaqa,s
8917,17158,Limakamaqa,s
8702,16943,llaqtaman,s
788,8982,usasapam,adj.
10407,18648,lluk'iykukunku.,v
7003,15244,Josépa,s
14721,22962,q'uncha.,s
9446,17687,Kiswar,s
10348,18589,unquysi,s
12699,20940,nin.,v
7128,15369,runaqa,s
3794,12016,Tankayllum,s
1422,9626,Kawituqa,s
329,8519,maskaspa,v
6875,15116,ayataqa,s
10755,18996,julio,s
12621,20862,ñawisapa,adj.
9186,17427,huk,det.
11019,19260,runaqa,s
4441,12664,Llumpay,adj.
12853,21094,Pacha,s
12775,21016,yapaspa,adv.
8552,16793,yarqayninpaq,s
3775,11996,Yachay,s
311,8501,Sunchu,s
15,25561,payta,pron.
14891,23132,tuta,s
772,8966,illanqa.,v
13465,21706,chaytaq,adv.
11524,19765,wira,s
12069,20310,"q'illaymantapas,",s
11681,19922,llaqta,s
13669,21910,"hurquqku,",v
3013,11229,qichawan,s
1961,10168,siwara,s
6976,15217,siwaratapas,s
14024,22265,pukyuqa,s
769,8963,Chisinkuyta,s
12039,20280,aswaraq,adv.
13090,21331,chakrakunata,s
1826,10031,Ama,adv.
14379,22620,llamk'aq,s
15348,23589,k'askachina.,v
9997,18238,allquta,s
12462,20703,turupa,s
8646,16887,k'uykataqa,s
14064,22305,Waka,s
6324,14565,warmitaq,s
2507,10721,Pariwanatam,s
7225,15466,Hank'unchikmi,s
3912,12134,tisim,s
12234,20475,yuyaq,adj.
405,8597,rumita,s
3875,12097,tikayarqusqa.,adj.
11304,19545,atinchu.,v
14388,22629,waqachispa,adj.
3691,11912,Tawnahina,s
68,8254,tukurquchkanña.,v
12802,21043,panti,adj.
7855,16096,wakapas,s
3635,11855,ruranku.,v
27,26904,imatapas,pron.
2263,10472,risaqmi!,v
10184,18425,Allquqa,s
4995,13221,rikuspa,v
3377,11596,Rinri,s
9007,17248,Hatun,adj.
5401,13637,apanquray,s
7169,15410,watasqam!,v
10516,18757,pirqata,s
4358,12581,Uywa,s
3054,11270,manam,adv.
7685,15926,¿Hinaqa?,conj.
6401,14642,kan.,v
12610,20851,yanaparquway!,v
9525,17766,aqhataqa,s
7243,15484,ñuñunkuman,s
2817,11033,Chakranchikqa,s
6858,15099,warmikunaqa,s
10645,18886,Machulaykunapa,s
14385,22626,llaqtayuq,s
9803,18044,wapsi,s
8901,17142,kawsaqkuna.,adj.
12447,20688,huk,det.
5978,14219,umaytam,s
1460,9665,maykamapas,adv.
14511,22752,kachiyuqta,adj.
8289,16530,Mana,adv.
13907,22148,Tunas,s
3836,12058,tarpun.,v
2459,10671,Llaqtaypi,s
15500,23741,qhuyapiqa,s
1973,10180,kay,adj.
3698,11919,sunqunta,s
2475,10687,kuchumusunchik.,v
5888,14129,runakunaqa,s
6567,14808,runaqa,s
13755,21996,tuntatapas,s
8467,16708,apakuna.,v
1042,9236,Hanaq,adv. lugar
10317,18558,siq'irquspayki,v
6916,15157,apiyan.,v
724,8918,Qullqi,s
10414,18655,Hawaq'ullaypa,s
11202,19443,t'antaykirayku.,s
5915,14156,Ñuñuq,adj.
9019,17260,Runapas,s
35,28141,ñuqapa,pron.
3523,11743,sachaqa,s
10361,18602,Warari,s
2226,10435,Muyukunata,s
8782,17023,del,prep
12931,21172,chuchaw,s
13763,22004,siqipi.,s
14790,23031,manataq,adv.
13310,21551,t'antata,s
11477,19718,chakrayuqpas,s
4909,13133,Ilaqtakunapi.,s
14742,22983,urqukunapi,s
11502,19743,qhatusaq.,v
6682,14923,kichanmansi.,v
751,8945,rimaysapam.,adj.
930,9124,"pachachina,",v
14390,22631,P'isaq,s
11592,19833,p'unchaw,s
13510,21751,hanaqpi,adv.
14562,22803,Chayqa,adv.
117,8303,Wak,det.
13578,21819,sapa,adj.
15163,23404,ukhupi,adv.
5632,13873,allin,adj.
2899,11115,Mana,adv.
1495,9700,Wakaykiqa,s
11176,19417,mayllakunanchik.,v
2282,10491,Ñawinchikta,s
2662,10877,apay!,v
13093,21334,inkakunaqa,s
9991,18232,Wik'uñaqa,s
4897,13121,yupay!,v
3521,11741,Sapin,s
1921,10127,Iluqsimuchkanña.,v
7105,10994,ñuqaqa,pron.
2392,10601,pampapi,s
5696,13937,chaqay,pron.demostrativo
6218,14459,runaman,s
10432,18673,Irqikunaqa,s
10832,19073,mikhunatapas,s
12547,20788,ñawpaq,adj.
12357,20598,k'achay,v
4203,12426,puñuchkan.,v
1139,9333,Humintata,s
13796,22037,raprayuq,adj.
2532,10747,tawa,num
14604,22845,kunantaq,adv.
2278,10487,rinaykichikpaq,v
12131,20372,mikhuspaqa,v
7634,15875,chaymantataq,conj.
12797,21038,huk,adj.
1146,9340,kustalman,s
12270,20511,nunanchiksi,s
14882,23123,hapt'ayta,s
4904,13128,yupaychanku,v
3551,11771,Saywachalláy,s
9685,17926,asnucha,s
12632,20873,ñawisapa,adj.
8061,16302,iñini.,v
781,8975,chitqay!,v
5774,14015,Apuman,s
1660,9865,humintapaq.,s
9977,18218,runaqa,s
9519,14507,Ima,pron.
2628,10843,Qayna,s
6316,14557,wik'uñaqa,s
660,8854,puyñu,s
14120,22361,rurukunaqa,s
8747,16988,mamataqa,s
9219,17460,uqa,s
8594,16835,ch'aki,adj.
3369,11588,tayta,s
14125,22366,paramantapas,adv.
1592,9797,¡Amawtapas,s
568,8762,yantasun.,v
13125,21366,Kay,adj.
7965,16206,"tiyan,",v
9955,18196,qaparin.,v
2399,10608,Saqiwasqaykitaqa,s
416,8608,munan.,v
11682,19923,warmikunaqa,s
4178,12401,Uqu,adj.
5277,13509,Hatun,adj.
4243,12466,ususqayta,s
9182,17423,puquykun.,v
5108,13336,aqha,s
3015,11231,Qichincha,s
211,8398,Anchaq,s
8014,16255,"pinchikillan,",v
5017,13243,raymipaqqa,v
8276,16517,p'unchawkunapi,s
13042,21283,llimp'iyuq:,adj.
1631,9836,amam,adv.
13509,21750,hina,adv.
7778,16019,"pichqa,",s
313,8503,llumpay,det.
14608,22849,pantaspa,adj.
14359,22600,llamk'aq,s
14446,22687,k'amikun.,v
6889,15130,unuman,s
11959,20200,maymantaq,pron.interrog.
3152,11368,karqa.,v
6254,14495,nanaypas,s
8109,16350,parachaqa,s
13528,21769,p'unchawpuni,s
5304,13536,anchatapuni,adv.
7421,15662,t'impuchispam,v
11680,19921,Chinchiru,s
7955,16196,mat'inta,s
8785,17026,taytanchiksi,s
11106,19347,papataqa,s
2432,10644,makinmi,s
12745,20986,nin,v
2922,11138,Qasaman,s
13,24691,Paykunaqa,pron.
8651,16892,Wiksa,s
8332,16573,q'aytumanta,s
3643,11863,rantikunanpaq,v
6869,15110,qhawan.,v
3348,11567,Paqarimusqanrayku,s
3688,11909,sumaqchay,v
9133,14195,chayta,pron.
5384,13620,saqipunku.,v
550,8744,chitaywan,s
2467,10679,pachaykita,s
10855,19096,llawita,s
12518,20759,"pacha,",s
1273,9470,allinmi.,adj.
7810,16051,nispa,v
14068,22309,tusuq,s
13338,21579,Puchkanapaqqa,s
13028,21269,unuqa,s
13024,21265,kaqtaq,adv.
1684,9889,kaspapas,v
5854,14095,¡Imatataq,pron.interrog.
3747,11968,mincha,adv.
3233,11450,waqtakurqun.,v
4842,13066,pusanapaq!,v
13858,22099,wawaman,s
12230,20471,tarukapas,s
4076,12299,yachanmi.,v
11867,20108,qhawaspa,v
6732,14973,Wakayqa,s
4829,13053,Yachasqanchik,s
12412,20653,p'uchquyarqunmi.,v
9369,17610,uywakuna,s
10622,18863,kanmi:,v
12107,20348,"kachiyuqta,",s
8225,16466,ithapas,s
14202,22443,wayrata,s
1774,9979,taytay,s
7777,16018,"tawa,",s
13666,21907,takaspa,adj.
6892,15133,ch'uñutaq,s
14932,23173,tuta,s
2149,10356,upyana,v
583,8777,sarapa,s
6871,15112,ñawpa,adv.
12756,18004,chayqa,pron.
14234,22475,allinña,adv.
7419,15660,uchpa,s
13298,21539,pukyumanta,s
10394,18635,"lluchk'a,",adj.
12608,20849,¡Chakra,s
4001,12224,tuspanqa,s
14516,22757,mut'i»,s
5158,13389,"mirachipuwanchik,",adj.
8188,16429,"thiqtinku,",v
4620,12843,millwanqa,s
734,8928,yunkapim,s
2371,10580,Wañunanpaqmi,v
786,8980,kasqa.,v
4248,12471,ususqayta,s
11831,20072,Allquqa,s
4813,13037,Yanqa,adj.
14018,18163,ñuqanchikqa,pron.
11401,19642,chinatawan,s
14996,23237,Qarpasqa,adj.
3002,11218,qaytuta,s
5038,13264,tupachisqawan,v
7617,15858,malliykuchkaspa,v
11602,19843,mukispa,v
6189,14430,mikhunmi.,v
11095,19336,sip'u,adj.
8091,16332,inti,s
10281,18522,Curahuata,s
3120,11336,qipinta,s
10744,18985,yuyarinku.,v
5326,13560,anchichkankiri?,v
7554,15795,maqt'akuna,s
14645,22886,Pisquchakunaqa,s
8029,16270,pacha,s
10948,19189,hampiqa,s
11460,19701,"kanku,",v
3734,11955,sutinchay.,v
1991,10198,mankapim,s
3034,11250,qíchuptinchikqa,v
9042,17283,kawsaychu.,s
10081,18322,k'irichakuna,s
8187,16428,qhuchparichispa,v
12472,20713,Julio,s
249,8437,amachakun.,v
13192,21433,paya,s
11499,19740,allin,adj.
2827,11043,wachananpaqqa,v
5403,13639,"mikhunku,",v
8282,16523,allichaspa.,v
102,8288,akanachu.,v
1419,9623,Qalallapim,adj.
14865,23106,hamk'aspaqa,adj.
9845,18086,wanquyrupa,s
13678,21919,phuspuruta,s
12551,20792,qhipa,adj.
13833,22074,millwamanta,s
4972,13198,achalanku.,v
4498,12721,¡Wasapi,s
4067,12290,misi,s
9967,18208,«qillqasqa,adj.
346,8537,aranwata,s
14496,22737,Latakunka,s
4157,12380,Hatun,adj.
8262,16503,K'allampataqa,s
7509,15750,allayta,s
12543,20784,Pachaqa,s
12820,21061,Ruk'i,adj.
6972,15213,huk,det.
15446,23687,hap'iwaptinchikqa,v
9228,17469,«nina,s
4505,12728,ruranku.,v
14193,22434,tukuy,adj.
9459,17700,misk'illaña.,adj.
14840,23081,Kaphiy,s
5411,13647,parananpaqmi,v
9850,18091,uma»,s
14992,23233,"watakuna,",v
1131,9325,hinay!,v
15347,23588,papilchawan,s
15301,23542,Junio,s
1612,9817,puquchisun.,v
15429,23670,sutinqa,s
6667,14908,chhullunku,v
9211,17452,kisa,s
8698,16939,mansanata,s
14444,22685,nispam,v
10510,18751,llimp'ispaqa,v
14437,22678,chayamun.,v
4834,13058,aspiy,v
13512,21753,chiriyaspataq,adv.
6809,15050,k'utupa,s
5129,13359,aspiqmi,v
7687,15928,kunkanmantas,s
6432,14673,haywaripuwan.,v
10068,18309,allin.,adj.
7207,15448,"tiyanchik,",v
11848,20089,muyapiqa,s
43,29743,chaykunaqa,pron.
3945,12168,Runa,s
12719,20960,masintin,adj.
12326,20567,p'akirqukusqa.,v
6145,14386,killapi,s
7455,15696,unuqa,s
